Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,68.9024390243902,68.4743902439024,66.8731707317073,64.9358536585366,64.4670731707317,65.2212195121951,66.1941463414634,66.9507317073171,66.7839024390244,66.0436585365854,65.3414634146341,65.4878048780488,65.0853658536585,65.0075609756098,65.4212195121951,65.47,66.6431707317073,67.4975609756098,67.8487804878049,68.6048780487805,68.8560975609756,69.6585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,33.4851219512195,29.7458292682927,27.4836585365854,27.0789024390244,28.5681219512195,31.634512195122,35.6591951219512,39.8048048780488,43.4151951219512,46.2260731707317,48.1923658536585,49.5076829268293,50.6048048780488,51.8120731707317,53.1976341463415,54.7516097560976,56.3866585365854,57.946,59.3153414634146,60.4659756097561,61.4017804878049,62.1553658536585
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,65.0404146341463,65.5589512195122,66.0700243902439,66.5691463414634,67.0518048780488,67.5150243902439,67.9542682926829,68.3705365853659,68.7648048780488,69.1370487804878,69.4873170731707,69.8166097560976,70.1284146341464,70.4262682926829,70.7146097560976,70.9969268292683,71.2786585365854,71.5607804878049,71.8442926829268,72.1306829268293,72.417,72.7012682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..,..,..,..,79.119512195122,79.4731707317073,80.1731707317073,80.5243902439024,80.619512195122,80.9731707317073,81.119512195122,81.219512195122,81.7219512195122,81.9756097560976,82.1804878048781,82.5060975609756,82.8317073170732,82.9955432372506,83.1593791574279,83.3232150776053
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,61.7714390243902,61.9345365853659,62.0950975609756,62.2551463414634,62.4147073170732,62.5702682926829,62.7183170731707,62.8599024390244,62.9974634146341,63.1370243902439,63.2925365853659,63.4779756097561,63.7018536585366,63.9651219512195,64.2612926829268,64.5769024390244,64.8924634146342,65.188,65.4505365853659,65.6726097560976,65.8546829268293,66.0037804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,69.1670243902439,69.5921951219512,69.9979268292683,70.3859512195122,70.7563658536586,71.1092926829268,71.4432926829268,71.7542926829268,72.0401707317073,72.2988536585366,72.5262195121951,72.7166341463415,72.8714634146342,72.9946097560976,73.0934634146342,73.177,73.2581707317073,73.3450731707317,73.445756097561,73.5642682926829,73.7016097560976,73.8548536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,57.1830975609756,57.409487804878,57.5066097560976,57.5113658536585,57.456243902439,57.3796097560976,57.3193414634146,57.3033658536585,57.3591463414634,57.508243902439,57.7658048780488,58.1355609756098,58.5961707317073,59.1276829268293,59.718512195122,60.3619268292683,61.0540731707317,61.7841707317073,62.5350731707317,63.2867804878049,64.0144390243903,64.6953658536585
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,..,71.4878048780488,..,..,..,..,..,72.0390243902439,..,..,71.5829268292683,72.2341463414634,72.2853658536585,72.4365853658537,72.6829268292683,72.8341463414634,73.3853658536585,73.6317073170732,73.8853658536585,73.9853658536586,74.3365853658537,74.5365853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,..,..,70.6707317073171,..,..,..,..,71.4146341463415,..,..,..,..,72.9536585365854,71.0292682926829,72.609756097561,72.1317073170732,72.2170731707317,73.1926829268293,73.1634146341463,73.0341463414634,73.1975609756098,72.7243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,37.3534146341463,36.7483414634146,36.2465853658537,35.885756097561,35.7013902439024,35.7247804878049,35.9741463414634,36.4261951219512,37.0468048780488,37.8125365853659,38.6901463414634,39.645487804878,40.6429024390244,41.6491219512195,42.6391951219512,43.6030731707317,44.5480731707317,45.4883658536585,46.4276341463415,47.3502195121951,48.2289512195122,49.0347317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,75.2951219512195,75.6463414634146,75.9463414634146,76.0463414634146,76.1975609756098,76.2951219512195,76.5951219512195,76.8975609756098,77.3,77.5512195121951,77.9512195121951,78.2512195121951,78.5512195121951,79.0390243902439,79.490243902439,79.990243902439,80.1414634146341,80.4414634146342,80.790243902439,81.2414634146342,81.5414634146342,81.7439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.5439024390244,74.5365853658537,75.5878048780488,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,70.9326829268293,70.8829268292683,71.7951219512195,72.4487804878049,72.3,72.2536585365854,72.6536585365854,72.7048780487805,72.5512195121951,72.9024390243902,73.0512195121951,73.4024390243903,73.6048780487805,73.6048780487805,73.9585365853659,73.9048780487805,74.2048780487805,74.2073170731707,74.7048780487805,74.909756097561,75.1121951219512,75.9585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,73.2048780487805,73.3536585365854,73.3048780487805,73.2536585365854,73.4048780487805,73.9585365853659,74.4585365853658,74.7073170731707,74.8073170731708,75.009756097561,75.4121951219512,75.7585365853659,76.0073170731707,76.8585365853659,77.2073170731707,77.6121951219512,78.0865853658537,78.5609756097561,78.7658536585366,78.9707317073171,79.4219512195122,79.9707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,56.704756097561,57.2138536585366,57.8211219512195,58.4545853658537,59.0837317073171,59.6959512195122,60.2965853658537,60.9086097560976,61.5436341463415,62.1908780487805,62.8367317073171,63.4656097560976,64.0623658536585,64.6140975609756,65.1128780487805,65.5534878048781,65.9346097560976,66.2668048780488,66.5612195121951,66.8246829268293,67.0656585365854,67.2912195121951
