Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,92.9746912085251,93.9076168563817,94.9468273189634,95.7330225236135,96.1021797045289,96.2494308549285,96.3794744490191,96.4887503027367,96.5946839428433,96.7828045531606,97.0158149673044,97.3879026398644,97.8682126422863,98.3461249697263,98.9581738919835,99.6346451925406,100.128856866069,100.456380634067,100.771343457095,101.044228603263,101.299693559913,101.650350073891
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,86.0280952209284,87.3739740677986,88.7078361392504,90.0657317615391,91.2914428542245,92.3489190910511,93.2862275736929,94.1904899239338,95.2317912675107,96.5207665800133,97.434779976999,98.1937920681807,98.9124645960929,99.6237235638581,100.475372556609,101.522501814662,102.672531674674,103.853368672016,106.059762547351,108.291290455327,109.542344173442,110.976336228798
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,25.6081918081918,26.0856143856144,26.5867132867133,27.0894105894106,27.5627372627373,27.9871128871129,28.3508491508492,28.6681318681319,28.9764235764236,29.3278721278721,29.7593406593407,30.2835164835165,30.8861138861139,31.5441558441558,32.2216783216783,32.8914085914086,33.5465534465534,34.1917082917083,34.8238761238761,35.4425574425574,36.0469530469531,36.6344655344655
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,718.759420289855,738.628985507246,736.264788732394,754.495774647887,773.452112676056,793.985915492958,816.697183098591,842.019718309859,870.498591549296,902.681690140845,939.232394366197,978.722535211268,1021.64084507042,1057.77083333333,1106.83424657534,1171.64054054054,1271.36216216216,1368.75733333333,1468.12763157895,1574.70263157895,1655.27427821522,1702.75619295958
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,814.190182069601,833.599746485365,852.634700775908,871.493846508412,890.479449950065,909.793101329031,929.454743796574,949.328624106937,969.26774986556,989.06255665668,1008.53298763156,1027.70272720289,1046.54264423446,1064.76280248905,1081.9988169317,1098.02549742644,1112.69292463701,1126.16337865868,1138.91428900668,1151.61585618806,1164.75975263117,1178.50205116386
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,605.520930232558,607.630232558139,609.73023255814,611.839534883721,613.988372093023,616.190697674419,618.46511627907,620.8,623.137209302326,625.395348837209,627.53023255814,629.502325581395,631.346511627907,633.16511627907,635.095348837209,637.239534883721,639.627906976744,642.218604651163,644.918604651163,647.595348837209,650.153488372093,652.562790697674
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,50.2317097219483,50.2563596923684,50.3648195622165,50.4782094261487,50.4190494971406,50.2563596923684,50.0887398935121,49.8767501478998,49.6401104318675,49.4724906330112,49.324590810491,48.9449812660225,48.6367894295716,48.3015333037519,47.9759380701149,47.6408815264014,47.333661902415,47.1168063085264,46.9590931493346,46.8740755349571,46.7718087727945,46.6857227342171
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,338.548546895641,339.71499339498,341.241248348745,342.672820343461,344.159081902246,346.057364597094,348.347357992074,350.914795244386,353.697919418758,356.555250990753,359.827807133421,364.85284015852
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,8.2223586146427,8.37908811924594,8.51911442349846,8.66352476983779,8.84164839982464,9.07330118369136,9.36755808855765,9.71538798772468,10.0959666812801,10.4789127575625,10.8422621657168,11.1788250767207,11.4950460324419,11.7988601490574,12.1036825953529,12.4190705830776,12.7466462078036,13.0821131082858,13.4224024550636,13.7626041209996,14.0994739149496,14.4319596668128
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,44.3532369634622,45.9606686768358,47.6962220645619,49.5070947144377,51.3195636750621,53.0831677899965,54.7740156083718,56.4145175594182,58.0568730046116,59.7773235189784,61.6297091167081,63.6299308265342,65.7568641362185,67.9822720822987,70.2624689606243,72.5644022703086,74.8822011351543,77.222747428166,79.5807467186946,81.9526605179142,84.3366264632849,86.7274831500532
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1186.52,1180.42,1171.9,1178.2,1186.4,1194.92,1202.58,1209.94,1218.86,1225.7,1236.66,1250.08,1258.24,1266.5,1274.8,1283.08,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,11.4612717505297,11.4435716884618,11.3024634548295,11.1047449864093,12.8487939698492,12.7863567839196,12.8737939698492,13.0883668341709,13.4046733668342,13.778567839196,14.1755527638191,14.5925628140704,15.0357035175879,15.4892964824121,16.6391636277776,17.0832699320513,17.4966550358108,17.8784007135924,18.2330718577013,18.5699294278144,18.89566335231,19.2104835112942
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,6.32903720114465,6.4548333794886,6.58330933259485,6.71450567709776,6.84839287362688,6.98487584233361,7.12401458506416,7.26563278870119,7.40908058709499,7.55350318471338,7.69824794609065,7.84305178620881,7.98794701375427,8.13294562909628,8.27816855903259,8.42370996030647,8.56950521554509,8.715482322533,8.86173359180282,9.00839933536417,9.15558478722422,9.30327517769778
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,88.7646274509804,87.0176078431373,84.00720703125,80.88216796875,77.97375,75.7671484375,74.42673828125,73.8155078125,73.7480078125,73.91384765625,74.0796484375,74.21380859375,74.38177734375,74.55689453125,74.7240625,74.87064453125,74.97078125,75.0081640625,74.99509765625,74.955703125,74.9073828125,74.8498046875
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,2.43469376951988,2.50577523688529,2.57698198436645,2.64739117392762,2.71581705574083,2.78137913997847,2.84408272016657,2.90410954069839,2.96104141301855,3.0144301519242,3.06420870608579,3.11000123515607,3.15259823902034,3.19453355213241,3.23919679565225,3.28904945917809,3.34492791982073,3.40626224127892,3.4723166234362,3.54174298166675,3.61341555943747,3.68730436010093
