Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Turkmenistan,TKM,29864.5,29543.1,21898.1,25230,17197.3,16574.5,15969.5,10616.5,10620.3,14283.1,21241.2,23389.3,25542.9,28390.6,28724.3,29543.6,30054,31847.1,32876,24457,26545.9,24277.2297482407
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Turks and Caicos Islands,TCA,2.30468,2.39528,4.26824,2.63015,2.75684,2.87808,3.00656,3.13446,3.28609,3.44505,3.62848,3.83752,4.05909,4.29729,4.54123,4.77212,5.0207,5.27503,5.51817,5.76022,6.00539,6.0654439
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Tuvalu,TUV,2.67939,2.86987,2.93589,2.95124,3.02644,3.08225,3.11311,3.14938,3.16743,3.20689,3.2168,3.22649,3.26591,3.26761,3.26864,3.26964,3.27067,3.27669,3.28464,3.29119,3.29957,3.3325657
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Uganda,UGA,12246.2,11586.3,12424.4,12385.8,12323.5,12960.5,13046.9,13375.6,12953.7,13687.4,13606.4,13728.3,13772.5,14909.5,14430.1,16840.2,16243.6,26989.5,20963.6,17240.4,20745.9,20953.359
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Ukraine,UKR,122321,116175,115569,112543,107267,103737,98528.7,94233.3,89749.6,88243.8,85290.3,81889.1,80947.7,80026.2,74231.7,70939.1,70251.4,68781.5,68324.6,68120.3,68387.6,68224.2432620095
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,United Arab Emirates,ARE,13606,14654.3,15097.3,14840.7,15746.5,17009.1,18626.2,18717.4,18896.1,18716.3,20332.7,19986.8,20738.6,21960.5,22552,22769.4,23928.4,24537.1,24457.4,25047,25607.4,25863.474
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,United Kingdom,GBR,117496,117228,113254,109061,104099,104042,103571,99823.3,95210.7,90860.1,86355.4,79457.3,75188.1,70993.1,67625.8,64805.1,63013.5,61771,61175.8,60726.9,61177.1,59856.6456122301
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,United States,USA,637636,627323,623194,617080,615255,604505,598692,589672,577778,568261,556609,551411,550977,551252,544113,538396,540769,542996,547798,528695,524709,514948.8225
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Uruguay,URY,15752.1,16571.7,17579.5,18256.3,18505.6,18492.8,18802.3,18610.4,18259.8,18464.3,18183,18168.5,18850.7,19288.4,19772.6,19751.3,20118,20327.2,20571.1,20117.4,19165.3,19356.953
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Uzbekistan,UZB,32945.6,32983.4,32730.6,33356.7,34329.9,34783.8,34834.4,35179.9,36346.8,36553.4,37233.4,37906.5,39495.2,40241.3,40922.4,42467.7,43945.7,44503.8,46396.1,46072.9,46861.7,47097.5367273413
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Vanuatu,VUT,213.989,221.44,234.846,249.675,252.532,253.399,256.289,258.949,261.833,264.709,267.267,264.887,262.719,262.154,257.432,257.924,258.834,261.185,262.931,247.88,249.176,251.66776
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Venezuela, RB",VEN,44121.9,45086.2,45587.6,47014.7,46746.2,49306.8,51643.6,54198,59932,53848.3,57933.4,59750.7,56103.6,57309.1,56847.2,57906,57872.5,61221.1,60628.8,58071.6,57057.7,57628.277
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Vietnam,VNM,60473.8,61759.8,63403.4,63890.9,63964.7,66075.9,67543.8,68456.2,72807.4,72666.3,75429.7,75926.2,80623.3,80775.5,88418.1,94344.9,99338.4,103899,106450,110278,111337,112450.37
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Virgin Islands (U.S.),VIR,33.803,34.3083,34.7904,35.2128,35.6297,35.9653,36.3927,36.8814,37.4368,38.0244,38.6406,39.2414,39.8668,40.4516,41.0292,41.6264,42.2629,43.1376,44.1381,45.1198,46.2222,46.684422
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,West Bank and Gaza,WBG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Yemen, Rep.",YEM,3912.18,3886.92,3935.12,4114.03,4938.16,4933.81,5107.29,5352.07,5498.36,5757.47,6137.9,6233.36,6315.4,6833.29,6874.06,7787.77,8338.36,8476.15,8319.61,8535.33,8764.63,8852.2763
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Zambia,ZMB,29119.3,22423.5,41214.8,18289,23290.7,24090.6,18974.7,18100.2,21569.8,19834.1,18099.7,17900.2,18103.1,18517.4,19551.4,21191.6,20195.7,20495.1,6121.19,6293.5,6422.92,6487.1492
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Zimbabwe,ZWE,10256.1,8852.57,10785.4,7414.98,7955.84,8219.76,8862.55,8816.33,9241.81,10250.2,9671.62,10137.6,9603.94,9208.9,9522.42,9657.96,8464.64,8467.99,8455.01,8377.39,8420.5,8504.705
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,
